Grade,Relationship,F_Statistic,P_Value,Granger_Causes,Lag_Order,N_Observations,R2_Restricted,R2_Augmented
low2,M102→M101,0.6593985709939564,0.620265558920549,False,4,1704,0.01880669108385058,0.020331156536186445
low2,M103→M101,2.204568316358518,0.06628145421504128,False,4,1704,0.01880669108385058,0.02388495022686077
low2,M104→M101,0.908831926555129,0.45786043702082935,False,4,1704,0.01880669108385058,0.020906588079327326
low2,M105→M101,4.936245631348595,0.0005874574328743609,True,4,1704,0.01880669108385058,0.03010495696945803
low2,M106→M101,0.026510261266694785,0.9986416320590685,False,4,1704,0.01880669108385058,0.018868071765277272
low2,M101→M102,8.905666993861718,4.0801019607350497e-07,True,4,1704,0.0003585808824655423,0.020934928937230368
low2,M103→M102,10.240627790419769,3.4124024717030466e-08,True,4,1704,0.0003585808824655423,0.02394654578665978
low2,M104→M102,3.7538525717581956,0.004788908000047276,True,4,1704,0.0003585808824655423,0.009136294789407473
low2,M105→M102,0.6850373688928445,0.6023115472998685,False,4,1704,0.0003585808824655423,0.0019720002924974445
low2,M106→M102,1.0054129942146564,0.40340594575729594,False,4,1704,0.0003585808824655423,0.002724771969357276
low2,M101→M103,6.753746343959069,2.1638627753395312e-05,True,4,1704,0.020872831545591053,0.036233386686815194
low2,M102→M103,4.851428733964641,0.000684009579266065,True,4,1704,0.020872831545591053,0.03195577565353902
low2,M104→M103,6.174301525243509,6.242985985338567e-05,True,4,1704,0.020872831545591053,0.03493443808457486
low2,M105→M103,24.178794249864342,0.0,True,4,1704,0.020872831545591053,0.0737252372279672
low2,M106→M103,37.13610340525359,0.0,True,4,1704,0.020872831545591053,0.0997664399793523
low2,M101→M104,4.241351541524894,0.0020294973159411533,True,4,1704,0.00022463000029226965,0.01013230404897092
low2,M102→M104,0.8352761608073491,0.502653561822021,False,4,1704,0.00022463000029226965,0.0021914634719428783
low2,M103→M104,5.686706004364237,0.0001515690333898645,True,4,1704,0.00022463000029226965,0.01346390023522892
low2,M105→M104,4.0418378539285476,0.0028875939903055814,True,4,1704,0.00022463000029226965,0.009670649251529162
low2,M106→M104,5.818137874612322,0.00011939242263137029,True,4,1704,0.00022463000029226965,0.0137657435825983
low2,M101→M105,4.429881742813204,0.0014522349057178863,True,4,1704,0.007636522852188188,0.01790335937836629
low2,M102→M105,0.08710161178235683,0.9864664121390505,False,4,1704,0.007636522852188188,0.007840460775519587
low2,M103→M105,23.7760628631688,0.0,True,4,1704,0.007636522852188188,0.06035858392015592
low2,M104→M105,5.8991800828139045,0.00010303817826717854,True,4,1704,0.007636522852188188,0.021261897066038538
low2,M106→M105,194.69364457726226,0.0,True,4,1704,0.007636522852188188,0.3200447168814743
low2,M101→M106,4.977079355148497,0.0005459183620376562,True,4,1704,0.012064622934087166,0.023533534057712302
low2,M102→M106,0.000814351506966464,0.9999986735426026,False,4,1704,0.012064622934087166,0.012066521518434015
low2,M103→M106,37.363126594432735,0.0,True,4,1704,0.012064622934087166,0.09211516244713425
low2,M104→M106,5.8787689548971915,0.00010693431458508318,True,4,1704,0.012064622934087166,0.02558290719207046
low2,M105→M106,2.159826469367928,0.07126143667853091,False,4,1704,0.012064622934087166,0.017074530770917473
