source,target,grade_source,grade_target,source_node,target_node,granger_causes,lag,p_value,adjusted_p_value,test_statistic,n_observations,r2_restricted,r2_augmented
101,101,low2,low1,M101_low2,M101_low1,False,4,0.04830977411523307,0.09661954823046615,2.3980859903771163,1704,0.005116718684295418,0.010715278756292301
101,101,med1,low1,M101_med1,M101_low1,False,4,0.48277280205825923,0.713019782842747,0.8673556971395624,1704,0.005116718684295418,0.007148942922095003
101,101,med2,low1,M101_med2,M101_low1,False,4,0.46653524864641416,0.696020154737353,0.8942175417280604,1704,0.005116718684295418,0.007211747994419149
102,101,low1,low1,M102_low1,M101_low1,False,4,0.10344612741458381,0.19280144562723872,1.9267743353044955,1704,0.005116718684295418,0.009619937296717729
102,101,low2,low1,M102_low2,M101_low1,False,4,0.7901381697607028,0.9999999999922596,0.4257601517044492,1704,0.005116718684295418,0.0061153180776925
102,101,med1,low1,M102_med1,M101_low1,False,4,0.6437731750298794,0.8973807894355895,0.6262979288900732,1704,0.005116718684295418,0.006584975374445912
102,101,med2,low1,M102_med2,M101_low1,False,4,0.8011101140274562,0.9999999999922596,0.4106149803923112,1704,0.005116718684295418,0.006079830214744786
103,101,low1,low1,M103_low1,M101_low1,False,4,0.7197247249260705,0.9687487888934467,0.5218129155854118,1704,0.005116718684295418,0.006340328007109042
103,101,low2,low1,M103_low2,M101_low1,False,4,0.33237759727073857,0.5380423275467674,1.1475782665496028,1704,0.005116718684295418,0.007803734308270749
103,101,med1,low1,M103_med1,M101_low1,False,4,0.43418236799490073,0.6566264852963979,0.9497410860927826,1704,0.005116718684295418,0.007341541157028675
103,101,med2,low1,M103_med2,M101_low1,False,4,0.38677720730561793,0.6101087719633695,1.0368301390012755,1704,0.005116718684295418,0.0075450542579738045
104,101,low1,low1,M104_low1,M101_low1,False,4,0.8466329473718244,0.9999999999922596,0.34642525793838175,1704,0.005116718684295418,0.005929394002505806
104,101,low2,low1,M104_low2,M101_low1,False,4,0.7460719317235123,0.9899800632485066,0.48597327002418994,1704,0.005116718684295418,0.006256383191731385
