node,market_id,grade,out_degree,in_degree,weighted_out_degree,leader_score
M101_med1,101,med1,10,0,74.26927565270036,10
M106_low2,106,low2,1,0,194.69364457726522,1
M106_low1,106,low1,1,0,103.06640783455086,1
M106_med2,106,med2,1,1,10.524980836879067,1
M106_med1,106,med1,1,0,10.438471108697074,1
M105_med2,105,med2,1,0,7.37497270685071,1
M101_low2,101,low2,1,0,6.753746343959483,1
M103_med1,103,med1,1,1,6.518440126588613,1
M105_med1,105,med1,1,0,5.904560311121842,1
M103_med2,103,med2,1,1,3.137250155106508,1
M101_low1,101,low1,0,0,0.0,0
M101_med2,101,med2,0,0,0.0,0
M102_low2,102,low2,0,0,0.0,0
M104_low1,104,low1,0,0,0.0,0
M105_low1,105,low1,0,0,0.0,0
M102_low1,102,low1,0,1,0.0,0
M102_med1,102,med1,0,1,0.0,0
M102_med2,102,med2,0,1,0.0,0
M103_low1,103,low1,0,1,0.0,0
M104_low2,104,low2,0,1,0.0,0
M104_med1,104,med1,0,1,0.0,0
M104_med2,104,med2,0,1,0.0,0
M105_low2,105,low2,0,2,0.0,0
M103_low2,103,low2,0,7,0.0,0
