grade,source_node,total_impact,affected_nodes_count,rank
low1,M102,2.9277875580816035,4,1
low1,M101,2.907349743836984,4,2
low1,M103,2.0,2,3
low1,M104,2.0,2,4
low1,M106,1.0,1,5
low2,M103,2.565723110591531,3,1
low2,M104,2.541873428479077,4,2
low2,M101,2.4490272077655773,5,3
low2,M106,1.9948624535718706,2,4
low2,M105,1.0,1,5
med1,M101,2.179016346981967,5,1
med1,M105,1.9703939214478932,4,2
med1,M102,1.5440915570906455,3,3
med1,M106,1.2833494203735498,2,4
med1,M104,1.0,1,5
med2,M105,2.5282316130099614,4,1
med2,M103,2.0489851205045904,3,2
med2,M101,2.0,2,3
med2,M102,1.3819990824572357,2,4
med2,M106,1.0,1,5
